"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","notes","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_var_total2","ch2_var_total_check","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_notes","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_notes","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch44_notes","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch58_notes","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_notes","ch72_supered","ch77_var_total","ch77_var_total2","ch77_var_total_check","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_lbs","ch77_lbs2","ch77_lbs_check","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","post_notes","chpost_var_total","chpost_var_total2","chpost_var_total_check","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","ch77_qstatus","ch77_efb","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","frames_bees","frames_wbr","frames_dbr","frames_honey","post_lbs_C","post_kgs_C"
"1","22-001","Shaw","3/8/22","MOT","21-030",16,3,1,"3-Taktic",3,"","3/10/22",21,3,24,24,"0",309,2,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",5,"","5/5/22","Y","QR","10","","5/19/22","Y","QS",7,"possibly mild EFB; knocked down 5 swarm cells","",6,6,"0",298,0,0,110.8,110.8,"0","Normal",1,"7/1/22",1,121.4,"QR",7,NA,"",15,15,0,292,8,0,"",NA,"","QR",NA,"Amitraz EC","Synthetic"," NA",0,311,298,300,"QR QR QS QR ",0,0,0,0,1,0,2.525,1.7,0.05,4.325,121.4,55.1156
"2","22-002","Shaw","3/8/22","MOT","21-030",16,3,1,"2-Apivar",2,"","3/10/22",6,5,11,11,"0",305,2,0,"3/26/22","QR","","Y","L3",6,"4/7/22","Y","QR","","Capped",NA,"12","#VALUE!",12,"4/21/22","N","QL",7.5,"QL w em cells; youngest brd purple eye; ants","5/5/22","Y","QR","10","","5/19/22","Y","QR",9,"","",3,3,"0",362,2,0,127.6,127.6,"0","Normal",1,"7/1/22",1,149.2,"QR",16,NA,"",1,1,0,318,12,0,"",NA,"","QS",NA,"Apivar","Synthetic"," NA",0,307,364,330,"QL QR QR QS ",0,0,1,0,1,1,2.475,2.4625,0.175,6.1,149.2,67.7368
"3","22-003","Shaw","3/8/22","MOT","21-030",16,3,2,"4-Dribble18",4,"","3/10/22",NA,NA,23,23,"0",301,3,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QR","","L4",7,"#VALUE!","23",23,"4/21/22","Y","QR",2.5,"","5/5/22","Y","QR","8","",NA,"Y","QR",4,"REMOVE; bad ants","",NA,NA,"#VALUE!",NA,NA,NA,95.2,95.2,"0","Normal",1,"7/1/22",1,91.6,"QS",4.5,1,"had efb now looks fine",32,32,0,369,5,0,"5/19/22",72,"Weak",NA,NA,"OA Dribble","Natural","Weak NA",0,304,NA,374,"QR QR QR NA Weak",0,1,0,0,1,1,NA,NA,NA,NA,91.6,41.5864
"4","22-004","Shaw","3/8/22","MOT","20-1",1,2,5,"4-Dribble18",4,"","3/10/22",NA,NA,0,0,"0",293,2,0,"3/26/22","QR","","Y","L1",4,"4/7/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",9,"ants","5/5/22","Y","QR","15","","5/19/22","Y","QR",17,"","second super",1,1,"0",265,12,0,176.6,176.6,"0","Normal",3,"7/1/22",3,227.2,"QR",17,NA,"CDB w frass",7,7,0,362,13,0,"",NA,"","QS",NA,"OA Dribble","Natural"," NA",0,295,277,375,"QR QR QR QS ",0,0,0,0,1,0,3.937,2.4875,0.1125,10.754,203.2,92.2528
"5","22-005","Shaw","3/8/22","MOT","20-1",1,2,5,"7-HopGuard",7,"","3/10/22",NA,NA,1,1,"0",301,3,0,"3/26/22","VQS","","N",NA,NA,"4/7/22","Y","QR","","White eye",13,"#VALUE!","17",17,"4/21/22","Y","QR",6.5,"","5/5/22","Y","QS","12","","5/19/22","Y","QR",17,"","second super",1,1,"0",404,3,0,165.4,165.4,"0","Normal",3,"7/1/22",3,201.8,"QR",14,NA,"cdb w/frass",9,9,0,344,3,0,"",NA,"","QS",NA,"HopGuard","Natural"," NA",0,304,407,347,"QR QS QR QS ",0,0,0,0,1,0,6.203,2.95,0.3,8.442,177.8,80.7212
"6","22-006","Shaw","3/8/22","MOT","20-C5",7,3,2,"1-Control",1,"","3/10/22",1,5,6,6,"0",280,3,0,"3/26/22","QNS","Light, almost starving, only real light one in yard","N",NA,NA,"4/7/22","N","QL","Dud. Remove from trial",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,"Control","Control","Failed to mate NA",0,283,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"7","22-007","Shaw","3/8/22","MOT","20-C5",7,3,2,"6-ManyDribble",6,"","3/10/22",1,12,13,13,"0",281,7,0,"3/26/22","QR","","Y","L1",4,"4/7/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",8,"","5/5/22","Y","QR","15","","5/19/22","N","QL",9,"was queenless or swarmed; likely a virgin in the hive; youngest brood prepupa","",32,32,"0",232,45,0,134.4,134.4,"0","Normal",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"24-May",77,"QL","QL",NA,"5x OA Dribble","Natural","QL NA",0,288,277,NA,"QR QR QL QL QL",0,0,1,0,1,1,1.85,1.225,0,8.4,NA,NA
"8","22-008","Shaw","3/8/22","MOT","20-C5",7,3,2,"3-Taktic",3,"","3/10/22",NA,NA,8,8,"0",264,6,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",5.5,"","5/5/22","Y","QR","12","","5/19/22","Y","QR",15,"","",1,1,"0",262,4,0,140,140,"0","Normal",2,"7/1/22",2,182.2,"QR",15,NA,"",12,12,0,328,4,0,"",NA,"","QR",NA,"Amitraz EC","Synthetic"," NA",0,270,266,332,"QR QR QR QR ",0,0,0,0,1,0,3,2.225,0.25,7.564,170.2,77.2708
"9","22-009","Shaw","3/8/22","MOT","21-016",1,3,6,"3-Taktic",3,"","3/10/22",NA,NA,1,1,"0",267,1,0,"3/26/22","QS","L4 or L5","Y","L5",8,"4/7/22","Y","QR","","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",9,"","5/5/22","Y","QR","15","","5/19/22","Y","QR",15,"","",2,2,"0",296,9,0,158.6,158.6,"0","Normal",2,"7/1/22",2,194.4,"QL",10,1,"no brood",6,6,0,347,10,0,"",NA,"","QR",NA,"Amitraz EC","Synthetic"," NA",0,268,305,357,"QR QR QR QR ",0,0,0,0,1,0,4.595,1.8375,0,12.3025,182.4,82.8096
"10","22-010","Shaw","3/8/22","MOT","21-016",1,3,6,"1-Control",1,"","3/10/22",NA,NA,1,1,"0",274,12,0,"3/26/22","QS","L4 or L5, took pic","Y","L5",8,"4/7/22","Y","QR","","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",8.5,"","5/5/22","Y","QR","14","","5/19/22","Y","QR",19,"knocked down appr 10 swarm cells","",13,13,"0",327,17,0,155,155,"0","Normal",2,"7/1/22",2,191.8,"QR",17,NA,"bald brood",51,51,0,359,1,0,"",NA,"","QR",NA,"Control","Control"," NA",0,286,344,360,"QR QR QR QR ",0,0,0,0,1,0,5.695,2.0125,0.1,10.0286,179.8,81.6292
